Time,Temp,Duty
10410,23.4,0.1
10420,23.4,0.1
10430,23.4,0.1
10440,23.4,0.1
10450,23.4,0.1
10460,23.4,0.1
10470,23.4,0.1
10480,23.4,0.1
10490,23.4,0.1
10500,23.4,0.1
10510,23.4,0.1
10520,23.4,0.1
10530,23.4,0.1
10540,23.4,0.1
10550,23.4,0.1
10560,23.4,0.1
10570,23.4,0.1
10580,23.4,0.1
10590,23.4,0.1
10600,23.4,0.1
10610,23.4,0.1
10620,23.4,0.1
10630,23.4,0.1
10640,23.4,0.1
10650,23.4,0.1
10660,23.4,0.1
10670,23.4,0.1
10680,23.4,0.1
10690,23.4,0.1
10700,23.4,0.1
10710,23.4,0.1
10720,23.4,0.1
10730,23.4,0.1
10740,23.4,0.1
10750,23.4,0.1
10760,23.4,0.1
10770,23.4,0.1
10780,23.4,0.1
10790,23.4,0.1
10800,23.4,0.1
10810,23.4,0.1
10820,23.4,0.1
10830,23.4,0.1
10840,23.4,0.1
10850,23.4,0.1
10860,23.4,0.1
10870,23.4,0.1
10880,23.4,0.1
10890,23.4,0.1
10900,23.4,0.1
10910,23.4,0.1
10920,23.4,0.1
10930,23.4,0.1
10940,23.4,0.1
10950,23.4,0.1
10960,23.4,0.1
10970,23.4,0.1
10980,23.4,0.1
10990,23.4,0.1
11000,23.4,0.1
11010,23.4,0.1
11020,23.4,0.1
11030,23.4,0.1
11040,23.4,0.1
11050,23.4,0.1
11060,23.4,0.1
11070,23.4,0.1
11080,23.4,0.1
11090,23.4,0.1
11100,23.4,0.1
11110,23.4,0.1
11120,23.4,0.1
11130,23.4,0.1
11140,23.4,0.1
11150,23.4,0.1
11160,23.4,0.1
11170,23.4,0.1
11180,23.4,0.1
11190,23.4,0.1
11200,23.4,0.1
11210,23.4,0.1
11220,23.4,0.1
11230,23.4,0.1
11240,23.4,0.1
11250,23.4,0.1
11260,23.4,0.1
11270,23.4,0.1
11280,23.4,0.1
11290,23.4,0.1
11300,23.4,0.1
11310,23.4,0.1
11320,23.4,0.1
11330,23.4,0.1
11340,23.4,0.1
11350,23.4,0.1
11360,23.4,0.1
11370,23.4,0.1
11380,23.4,0.1
11390,23.4,0.1
11400,23.4,0.1
11410,23.4,0.1
11420,23.4,0.1
11430,23.4,0.1
11440,23.4,0.1
11450,23.4,0.1
11460,23.4,0.1
11470,23.4,0.1
11480,23.4,0.1
11490,23.4,0.1
11500,23.4,0.1
11510,23.4,0.1
11520,23.4,0.1
11530,23.4,0.1
11540,23.4,0.1
11550,23.4,0.1
11560,23.4,0.1
11570,23.4,0.1
11580,23.4,0.1
11590,23.4,0.1
11600,23.4,0.1
11610,23.4,0.1
11620,23.4,0.1
11630,23.4,0.1
11640,23.4,0.1
11650,23.4,0.1
11660,23.4,0.1
11670,23.4,0.1
11680,23.4,0.1
11690,23.4,0.1
11700,23.4,0.1
11710,23.4,0.1
11720,23.4,0.1
11730,23.4,0.1
11740,23.4,0.1
11750,23.4,0.1
11760,23.4,0.1
11770,23.4,0.1
11780,23.4,0.1
11790,23.4,0.1
11800,23.4,0.1
11810,23.4,0.1
11820,23.4,0.1
11830,23.4,0.1
11840,23.4,0.1
11850,23.4,0.1
11860,23.4,0.1
11870,23.4,0.1
11880,23.4,0.1
11890,23.4,0.1
11900,23.4,0.1
11910,23.4,0.1
11920,23.4,0.1
11930,23.4,0.1
11940,23.4,0.1
11950,23.4,0.1
11960,23.4,0.1
11970,23.4,0.1
11980,23.4,0.1
11990,23.4,0.1
12000,23.4,0.1
12010,23.4,0.1
12020,23.4,0.1
12030,23.4,0.1
12040,23.4,0.1
12050,23.4,0.1
12060,23.4,0.1
12070,23.4,0.1
12080,23.4,0.1
12090,23.4,0.1
12100,23.4,0.1
12110,23.4,0.1
12120,23.4,0.1
12130,23.4,0.1
12140,23.4,0.1
12150,23.4,0.1
12160,23.4,0.1
12170,23.4,0.1
12180,23.4,0.1
12190,23.4,0.1
12200,23.4,0.1
12210,23.4,0.1
12220,23.4,0.1
12230,23.4,0.1
12240,23.4,0.1
12250,23.4,0.1
12260,23.4,0.1
12270,23.4,0.1
12280,23.4,0.1
12290,23.4,0.1
12300,23.4,0.1
12310,23.4,0.1
12320,23.4,0.1
12330,23.4,0.1
12340,23.4,0.1
12350,23.4,0.1
12360,23.4,0.1
12370,23.4,0.1
12380,23.4,0.1
12390,23.4,0.1
12400,23.4,0.1
12410,23.4,0.1
12420,23.4,0.1
12430,23.4,0.1
12440,23.4,0.1
12450,23.4,0.1
12460,23.4,0.1
12470,23.4,0.1
12480,23.4,0.1
12490,23.4,0.1
12500,23.4,0.1
12510,23.4,0.1
12520,23.4,0.1
12530,23.4,0.1
12540,23.4,0.1
12550,23.4,0.1
12560,23.4,0.1
12570,23.4,0.1
12580,23.4,0.1
