Time,Temp,DutyCycle
45660,19.3,0.2
45670,19.3,0.2
45680,19.3,0.2
45690,19.3,0.2
45700,19.3,0.2
45710,19.3,0.2
45720,19.3,0.2
45730,19.3,0.2
45740,19.3,0.2
45750,19.3,0.2
45760,19.3,0.2
45770,19.3,0.2
45780,19.3,0.2
45790,19.3,0.2
45800,19.3,0.2
45810,19.3,0.2
45820,19.3,0.2
45830,19.3,0.2
45840,19.3,0.2
45850,19.3,0.2
45860,19.3,0.2
45870,19.3,0.2
45880,19.3,0.2
45890,19.3,0.2
45900,19.3,0.2
45910,19.3,0.2
45920,19.3,0.2
45930,19.3,0.2
45940,19.4,0.2
45950,19.4,0.2
45960,19.4,0.2
45970,19.4,0.2
45980,19.4,0.2
45990,19.4,0.2
46000,19.4,0.2
46010,19.4,0.2
46020,19.4,0.2
46030,19.4,0.2
46040,19.4,0.2
46050,19.4,0.2
46060,19.4,0.2
46070,19.4,0.2
46080,19.4,0.2
46090,19.4,0.2
46100,19.4,0.2
46110,19.4,0.2
46120,19.4,0.2
46130,19.4,0.2
46140,19.4,0.2
46150,19.4,0.2
46160,19.4,0.2
46170,19.4,0.2
46180,19.4,0.2
46190,19.4,0.2
46200,19.4,0.2
46210,19.4,0.2
46220,19.4,0.2
46230,19.4,0.2
46240,19.4,0.2
46250,19.4,0.2
46260,19.4,0.2
46270,19.4,0.2
46280,19.4,0.2
46290,19.4,0.2
46300,19.4,0.2
46310,19.4,0.2
46320,19.4,0.2
46330,19.4,0.2
46340,19.4,0.2
46350,19.4,0.2
46360,19.4,0.2
46370,19.4,0.2
46380,19.4,0.2
46390,19.4,0.2
46400,19.4,0.2
46410,19.4,0.2
46420,19.4,0.2
46430,19.4,0.2
46440,19.4,0.2
46450,19.4,0.2
46460,19.4,0.2
46470,19.4,0.2
46480,19.4,0.2
46490,19.4,0.2
46500,19.4,0.2
46510,19.4,0.2
46520,19.4,0.2
46530,19.4,0.2
46540,19.4,0.2
46550,19.4,0.2
46560,19.4,0.2
46570,19.4,0.2
46580,19.4,0.2
46590,19.4,0.2
46600,19.4,0.2
46610,19.4,0.2
46620,19.4,0.2
46630,19.4,0.2
46640,19.4,0.2
46650,19.4,0.2
46660,19.4,0.2
46670,19.4,0.2
46680,19.4,0.2
46690,19.4,0.2
46700,19.4,0.2
46710,19.4,0.2
46720,19.4,0.2
46730,19.4,0.2
46740,19.4,0.2
46750,19.4,0.2
46760,19.4,0.2
46770,19.4,0.2
46780,19.4,0.2
46790,19.4,0.2
46800,19.4,0.2
46810,19.4,0.2
46820,19.4,0.2
46830,19.4,0.2
46840,19.4,0.2
46850,19.4,0.2
46860,19.4,0.2
46870,19.4,0.2
46880,19.4,0.2
46890,19.4,0.2
46900,19.4,0.2
46910,19.4,0.2
46920,19.4,0.2
46930,19.4,0.2
46940,19.4,0.2
46950,19.4,0.2
46960,19.4,0.2
46970,19.4,0.2
46980,19.4,0.2
46990,19.4,0.2
47000,19.4,0.2
47010,19.4,0.2
47020,19.4,0.2
47030,19.4,0.2
47040,19.4,0.2
47050,19.4,0.2
47060,19.4,0.2
47070,19.4,0.2
47080,19.4,0.2
47090,19.4,0.2
47100,19.4,0.2
47110,19.4,0.2
47120,19.4,0.2
47130,19.4,0.2
47140,19.4,0.2
47150,19.4,0.2
47160,19.4,0.2
47170,19.4,0.2
47180,19.4,0.2
47190,19.4,0.2
47200,19.4,0.2
47210,19.4,0.2
47220,19.4,0.2
47230,19.4,0.2
47240,19.4,0.2
47250,19.4,0.2
47260,19.4,0.2
47270,19.4,0.2
47280,19.4,0.2
47290,19.4,0.2
47300,19.4,0.2
47310,19.4,0.2
47320,19.4,0.2
47330,19.4,0.2
47340,19.4,0.2
47350,19.4,0.2
47360,19.4,0.2
47370,19.4,0.2
47380,19.4,0.2
47390,19.4,0.2
47400,19.4,0.2
47410,19.4,0.2
47420,19.4,0.2
47430,19.4,0.2
47440,19.4,0.2
47450,19.4,0.2
47460,19.4,0.2
47470,19.4,0.2
47480,19.4,0.2
47490,19.4,0.2
47500,19.4,0.2
47510,19.4,0.2
47520,19.4,0.2
47530,19.4,0.2
47540,19.4,0.2
47550,19.4,0.2
47560,19.4,0.2
47570,19.4,0.2
47580,19.4,0.2
47590,19.4,0.2
47600,19.4,0.2
47610,19.4,0.2
47620,19.4,0.2
47630,19.4,0.2
